steamid,appid,playtime_forever,playtime_2weeks
76561198164987397,70,0,0
76561198164987397,220,182,0
76561198164987397,240,54,0
76561198164987397,320,0,0
76561198164987397,360,0,0
76561198164987397,440,13815,0
76561198164987397,550,327,0
76561198164987397,730,95870,152
76561198164987397,1930,364,0
76561198164987397,2700,76,0
76561198164987397,3910,0,0
76561198164987397,4000,2632,0
76561198164987397,4560,0,0
76561198164987397,4760,170,0
76561198164987397,6000,256,0
76561198164987397,6030,27,0
76561198164987397,6060,31,0
76561198164987397,8190,51,0
76561198164987397,9480,0,0
76561198164987397,10180,204,0
76561198164987397,10190,494,0
76561198164987397,12320,0,0
76561198164987397,17390,572,0
76561198164987397,22330,340,0
76561198164987397,22380,107,0
76561198164987397,32400,6,0
76561198164987397,32470,1693,0
76561198164987397,38400,0,0
76561198164987397,39120,286,0
76561198164987397,39210,344,0
76561198164987397,39500,0,0
76561198164987397,43110,0,0
76561198164987397,48700,2884,0
76561198164987397,48720,98,0
76561198164987397,49520,1214,0
76561198164987397,50300,0,0
76561198164987397,55100,0,0
76561198164987397,55150,80,0
76561198164987397,55230,1763,0
76561198164987397,57300,0,0
76561198164987397,99900,227,0
76561198164987397,105450,3965,0
76561198164987397,105600,6993,0
76561198164987397,108600,95854,7
76561198164987397,109600,1656,0
76561198164987397,200210,143,0
76561198164987397,201700,0,0
76561198164987397,203160,0,0
76561198164987397,203770,0,0
76561198164987397,204360,0,0
76561198164987397,204880,0,0
76561198164987397,206420,281,0
76561198164987397,207610,198,0
76561198164987397,211820,75,0
76561198164987397,214510,0,0
76561198164987397,218230,2214,0
76561198164987397,218620,1162,0
76561198164987397,219640,143,0
76561198164987397,219990,3570,0
76561198164987397,222880,2864,0
76561198164987397,224260,134,0
76561198164987397,226840,0,0
76561198164987397,227300,788,0
76561198164987397,227700,3116,0
76561198164987397,228200,376,0
76561198164987397,230410,104672,0
76561198164987397,231430,220,0
76561198164987397,232090,1129,0
76561198164987397,236870,0,0
76561198164987397,238960,64869,0
76561198164987397,239200,0,0
76561198164987397,241930,2998,0
76561198164987397,242760,562,0
76561198164987397,242860,1199,0
76561198164987397,252490,9301,0
76561198164987397,252950,373,0
76561198164987397,261550,18873,922
76561198164987397,270550,242,0
76561198164987397,271590,1625,0
76561198164987397,275850,3286,0
76561198164987397,283270,0,0
76561198164987397,285160,0,0
76561198164987397,285310,0,0
76561198164987397,285330,168,0
76561198164987397,289070,674,0
76561198164987397,291480,4859,0
76561198164987397,291550,524,0
76561198164987397,292030,204,0
76561198164987397,301520,990,0
76561198164987397,304050,1320,0
76561198164987397,304390,0,0
76561198164987397,304930,1935,0
76561198164987397,306130,3178,0
76561198164987397,321040,389,0
76561198164987397,322330,1246,0
76561198164987397,325180,7,0
76561198164987397,325610,456,0
76561198164987397,326360,63,0
76561198164987397,346110,1786,0
76561198164987397,356190,3252,0
76561198164987397,359550,214,0
76561198164987397,363970,384,0
76561198164987397,364360,0,0
76561198164987397,366090,1995,0
76561198164987397,367540,0,0
76561198164987397,379430,0,0
76561198164987397,386360,3008,0
76561198164987397,394510,257,0
76561198164987397,400940,0,0
76561198164987397,407530,0,0
76561198164987397,413150,189,0
76561198164987397,418650,22,0
76561198164987397,427240,0,0
76561198164987397,431730,179,0
76561198164987397,431960,1479,0
76561198164987397,440900,1087,0
76561198164987397,463210,37,0
76561198164987397,466240,96,0
76561198164987397,466560,320,0
76561198164987397,471710,91,0
76561198164987397,475150,0,0
76561198164987397,475550,413,0
76561198164987397,489520,398,0
76561198164987397,489630,0,0
76561198164987397,489830,3709,0
76561198164987397,520720,0,0
76561198164987397,526870,2804,0
76561198164987397,527230,389,0
76561198164987397,527430,25,0
76561198164987397,530700,0,0
76561198164987397,533300,218,0
76561198164987397,539470,291,0
76561198164987397,548430,8895,0
76561198164987397,550320,88,0
76561198164987397,552500,2725,0
76561198164987397,553850,10177,0
76561198164987397,555160,359,0
76561198164987397,562220,243,0
76561198164987397,575640,153,0
76561198164987397,578620,20,0
76561198164987397,581320,20695,0
76561198164987397,582660,195,0
76561198164987397,591420,238,0
76561198164987397,594570,0,0
76561198164987397,602960,0,0
76561198164987397,606140,325,0
76561198164987397,617290,5769,0
76561198164987397,617830,163,0
76561198164987397,623990,0,0
76561198164987397,632360,867,27
76561198164987397,646570,10365,0
76561198164987397,654310,0,0
76561198164987397,671860,5119,0
76561198164987397,674020,3735,0
76561198164987397,677620,337,0
76561198164987397,680420,7232,0
76561198164987397,737010,0,0
76561198164987397,745920,393,0
76561198164987397,761890,132,0
76561198164987397,782330,193,0
76561198164987397,783770,617,0
76561198164987397,799960,11,0
76561198164987397,813780,918,0
76561198164987397,815370,91,0
76561198164987397,846470,0,0
76561198164987397,892970,20894,37
76561198164987397,899770,4306,0
76561198164987397,931180,0,0
