appid,tags
10,1980s;1990's;Action;Assassin;Classic;Competitive;e-sports;First-Person;FPS;Military;Multiplayer;Nostalgia;Old School;PvP;Score Attack;Shooter;Strategy;Survival;Tactical;Team-Based
20,1990's;Action;Class-Based;Classic;Co-op;Competitive;Fast-Paced;First-Person;FPS;Funny;Hero Shooter;Mod;Multiplayer;Old School;Online Co-Op;Remake;Retro;Shooter;Team-Based;Violent
30,Action;Class-Based;Classic;Co-op;Difficult;First-Person;FPS;Historical;Military;Multiplayer;Old School;Retro;Shooter;Singleplayer;Strategy;Tactical;Team-Based;Violent;War;World War II
40,1990's;Action;Arena Shooter;Classic;Co-op;Competitive;Difficult;Fast-Paced;First-Person;FPS;Gore;Multiplayer;Old School;PvP;Retro;Sci-fi;Shooter;Singleplayer
50,1990's;Action;Adventure;Aliens;Atmospheric;Classic;Co-op;First-Person;FPS;Gore;Great Soundtrack;Military;Moddable;Puzzle;Retro;Sci-fi;Shooter;Silent Protagonist;Singleplayer;Story Rich
60,3D;Action;Classic;Competitive;Conspiracy;Cult Classic;Cyberpunk;First-Person;FPS;Great Soundtrack;Memes;Multiplayer;Old School;Platformer;Psychological Horror;Retro;Sci-fi;Shooter;Space;Sports
70,1990's;Action;Action-Adventure;Adventure;Aliens;Atmospheric;Classic;Difficult;First-Person;FPS;Gore;Moddable;Multiplayer;PvP;Retro;Sci-fi;Shooter;Silent Protagonist;Singleplayer;Story Rich
80,Action;Adventure;Atmospheric;Classic;Competitive;Dark;First-Person;FPS;Military;Multiplayer;Old School;Online Co-Op;Open World;Shooter;Singleplayer;Strategy;Survival;Tactical;Team-Based;Violent
130,1990's;Action;Adventure;Aliens;Atmospheric;Classic;First-Person;FPS;Great Soundtrack;Moddable;Puzzle;Retro;Sci-fi;Shooter;Short;Silent Protagonist;Singleplayer;Story Rich;Violent;Zombies
220,Action;Adventure;Aliens;Atmospheric;Classic;Dystopian ;First-Person;FPS;Great Soundtrack;Horror;Moddable;Multiplayer;Physics;Puzzle;Sci-fi;Shooter;Silent Protagonist;Singleplayer;Story Rich;Zombies
240,Action;Atmospheric;Competitive;Difficult;e-sports;First-Person;FPS;Military;Moddable;Multiplayer;PvP;Sandbox;Shooter;Simulation;Singleplayer;Strategy;Survival;Tactical;Team-Based;War
300,Action;Class-Based;Classic;First-Person;FPS;Gore;Historical;Massively Multiplayer;Military;Multiplayer;Online Co-Op;Realistic;Shooter;Simulation;Strategy;Tactical;Team-Based;Violent;War;World War II
320,Action;Adventure;Arena Shooter;Atmospheric;Co-op;Competitive;First-Person;FPS;Funny;Great Soundtrack;Mod;Moddable;Multiplayer;Old School;Physics;PvP;Sci-fi;Shooter;Singleplayer;Violent
360,Action;Adventure;Arena Shooter;Atmospheric;Classic;Competitive;Fast-Paced;First-Person;FPS;Gore;Great Soundtrack;Horror;Multiplayer;Remake;Retro;Sci-fi;Shooter;Singleplayer;Violent
400,3D Platformer;Action;Adventure;Atmospheric;Classic;Comedy;Dark Humor;Female Protagonist;First-Person;FPS;Funny;Physics;Platformer;Puzzle;Puzzle-Platformer;Sci-fi;Science;Short;Singleplayer;Story Rich
440,Action;Cartoon;Cartoony;Class-Based;Co-op;Comedy;Competitive;Crafting;First-Person;FPS;Free to Play;Funny;Hero Shooter;Multiplayer;Online Co-Op;Robots;Shooter;Tactical;Team-Based;Trading
500,Action;Adventure;Atmospheric;Co-op;Competitive;Female Protagonist;First-Person;FPS;Horror;Moddable;Multiplayer;Online Co-Op;Post-apocalyptic;Replay Value;Shooter;Singleplayer;Survival;Tactical;Team-Based;Zombies
550,Action;Adventure;Co-op;First-Person;FPS;Gore;Horror;Local Co-Op;Moddable;Multiplayer;Online Co-Op;Post-apocalyptic;Replay Value;Shooter;Singleplayer;Survival;Survival Horror;Tactical;Team-Based;Zombies
570,Action;Action RPG;Character Customization;Co-op;Competitive;Difficult;e-sports;Fantasy;Free to Play;MOBA;Multiplayer;Online Co-Op;PvP;Replay Value;RPG;RTS;Simulation;Strategy;Team-Based;Tower Defense
620,3D Platformer;Action;Action-Adventure;Adventure;Atmospheric;Co-op;Comedy;Dark Humor;Female Protagonist;First-Person;FPS;Funny;Level Editor;Physics;Platformer;Puzzle;Puzzle-Platformer;Sci-fi;Science;Story Rich
630,Action;Adventure;Aliens;Class-Based;Co-op;Free to Play;Moddable;Multiplayer;Online Co-Op;PvE;Sci-fi;Shooter;Singleplayer;Strategy;Survival;Team-Based;Third Person;Third-Person Shooter;Top-Down;Top-Down Shooter
730,Action;Co-op;Competitive;Difficult;e-sports;Fast-Paced;First-Person;FPS;Military;Moddable;Multiplayer;Online Co-Op;PvP;Realistic;Shooter;Strategy;Tactical;Team-Based;Trading;War
1002,2D;2D Fighter;Action;Fighting;Indie;Intentionally Awkward Controls;Martial Arts;Multiplayer;Physics;Singleplayer
1200,Action;Atmospheric;Classic;First-Person;FPS;Historical;Military;Multiplayer;Realistic;Shooter;Simulation;Singleplayer;Strategy;Survival;Tactical;Tanks;Team-Based;Violent;War;World War II
1250,3D;Action;Bullet Time;Class-Based;Co-op;Dark Comedy;First-Person;FPS;Gore;Horror;Moddable;Multiplayer;Online Co-Op;Shooter;Singleplayer;Survival;Survival Horror;Team-Based;Violent;Zombies
1300,Action;Adventure;Classic;Cyberpunk;Episodic;First-Person;FPS;Futuristic;Gore;Great Soundtrack;Nudity;Old School;Sci-fi;Shooter;Short;Singleplayer
1313,1990's;Action;Boomer Shooter;Classic;Cult Classic;Cyberpunk;First-Person;FPS;Gore;Great Soundtrack;Horror;Multiplayer;Retro;Shooter;Singleplayer;Violent
1500,3D;Abstract;Arcade;Colorful;God Game;Indie;Pixel Graphics;Puzzle;PvE;Real Time Tactics;RTS;Sci-fi;Shoot 'Em Up;Singleplayer;Story Rich;Strategy;Stylized;Surreal;Tactical RPG;Wargame
1510,2D;Atmospheric;Cyberpunk;Experimental;Hacking;Immersive Sim;Indie;Perma Death;Programming;Puzzle;Real-Time with Pause;Rogue-like;Sci-fi;Simulation;Singleplayer;Story Rich;Strategy;Text-Based;Time Management;Typing
1520,2D;Co-op;Cold War;Difficult;Diplomacy;Immersive Sim;Management;Military;Multiplayer;Online Co-Op;PvP;Replay Value;RTS;Singleplayer;Strategy;Strategy RPG;Tactical;Top-Down;Wargame;World War II
1530,3D;Action;Action RTS;Battle Royale;Casual;Combat;Multiplayer;Pixel Graphics;Psychedelic;Puzzle;PvP;Real Time Tactics;Retro;RTS;Sci-fi;Singleplayer;Strategy;Tactical RPG;Top-Down;Tower Defense
1600,Action RPG;Cold War;Difficult;Free to Play;Immersive Sim;Military;Multiplayer;Naval;Naval Combat;Parody ;Realistic;Sailing;Simulation;Singleplayer;Stealth;Strategy;Submarine;Top-Down;Underwater;War
1610,4X;Sci-fi;Singleplayer;Space;Strategy;Turn-Based;Turn-Based Strategy
1620,
1630,Atmospheric;Classic;Dark Fantasy;Dwarf;Fantasy;Great Soundtrack;Nostalgia;Old School;RPG;Strategy;Turn-Based;Turn-Based Strategy
1640,Atmospheric;Classic;Dark Fantasy;Fantasy;Gothic;Great Soundtrack;Isometric;Multiplayer;Nostalgia;RPG;Singleplayer;Strategy;Tactical;Turn-Based;Turn-Based Strategy
1670,Action;Classic;Cold War;Controller;Family Friendly;Fighting;First-Person;Free to Play;Military;Online Co-Op;Realistic;Shooter;Simulation;Singleplayer;Strategy;Tactical;Tanks;Third-Person Shooter;War;Wargame
1690,4X;Multiplayer;Sci-fi;Singleplayer;Space;Strategy;Turn-Based;Turn-Based Strategy
1700,Action;Action RPG;Adventure;Atmospheric;Classic;Dark Fantasy;Dungeon Crawler;Exploration;Fantasy;First-Person;Horror;Immersive Sim;Inventory Management;Magic;Open World;RPG;Singleplayer;Stealth;Story Rich;Underground
1900,Action;Action RPG;Aliens;Atmospheric;Base-Building;Co-op;Futuristic;Historical;Multiplayer;Pixel Graphics;Post-apocalyptic;Real-Time;Resource Management;RTS;Sci-fi;Simulation;Singleplayer;Space;Strategy;Tactical RPG
1930,3D;Action;Action RPG;Adventure;Atmospheric;Character Customization;Co-op;Dark Fantasy;Exploration;Fantasy;Hack and Slash;Magic;Medieval;Multiplayer;Open World;RPG;Sandbox;Singleplayer;Story Rich;Third Person
